"Opcodes";"Fields";"Description"
"randi";"ares [randi] xamp, xcps [, iseed] [, isize] [, ioffset]";"a controlled random number series with interpolation between each new number."
"random";"ares [random] kmin, kmax";"is a controlled pseudo-random number series between min and max values."
"randomh";"ares [randomh] kmin, kmax, acps";"random numbers with a user-defined limit and holds them for a period of time."
"randomi";"ares [randomi] kmin, kmax, acps";"a user-controlled random number series with interpolation between each new number."
"rbjeq";"ar [rbjeq] asig, kfco, klvl, kQ, kS[, imode]";"equalizer and filter opcode with 7 filter types, basedon algorithm by Robert Bristow-Johnson."
"readclock";"ir [readclock] inum";"the value of an internal clock."
"readk";"kres [readk] ifilname, iformat, ipol [, interp]";"reads an orchestra control-signal value from an external file."
"readk2";"kr1, kr2 [readk2] ifilname, iformat, ipol [, interp]";"reads two orchestra control-signal values from an external file."
"readk3";"kr1, kr2, kr3 [readk3] ifilname, iformat, ipol [, interp]";"reads three orchestra control-signal values from an external file."
"readk4";"kr1, kr2, kr3, kr4 [readk4] ifilname, iformat, ipol [, interp]";"reads four orchestra control-signal values from an external file."
"reinit";"[reinit] label";"a performance while a special initialization pass is executed."
"release";"kflag [release]";"whether a note is in its"
"remoteport";"[remoteport] iportnum";"the port for use with the remote system."
"remove";"[remove] insnum";"the definition of an instrument."
"repluck";"ares [repluck] iplk, kamp, icps, kpick, krefl, axcite";"model of the plucked string."
"reson";"ares [reson] asig, kcf, kbw [, iscl] [, iskip]";"second-order resonant filter."
"resonk";"kres [resonk] ksig, kcf, kbw [, iscl] [, iskip]";"second-order resonant filter."
"resonr";"ares [resonr] asig, kcf, kbw [, iscl] [, iskip]";"bandpass filter with variable frequency response."
"resonx";"ares [resonx] asig, kcf, kbw [, inumlayer] [, iscl] [, iskip]";"a stack of filters using the reson opcode."
"resonxk";"kres [resonxk] ksig, kcf, kbw[, inumlayer, iscl, istor]";"Control signal resonant filter stack."
"resony";"ares [resony] asig, kbf, kbw, inum, ksep [, isepmode] [, iscl] [, iskip]";"bank of second-order bandpass filters, connected in parallel."
"resonz";"ares [resonz] asig, kcf, kbw [, iscl] [, iskip]";"bandpass filter with variable frequency response."
"resyn";"asig [resyn] fin, kscal, kpitch, kmaxtracks, ifn";"partial track additive synthesis with cubic phase interpolation withpitch control and support for timescale-modified input"
"reverb";"ares [reverb] asig, krvt [, iskip]";"an input signal with a"
"reverb2";"ares [reverb2] asig, ktime, khdif [, iskip] [,inumCombs] [, ifnCombs] [, inumAlpas] [, ifnAlpas]";"as the nreverb opcode."
"reverbsc";"aoutL, aoutR [reverbsc] ainL, ainR, kfblvl, kfco[, israte[, ipitchm[, iskip]]]";"delay line stereo FDN reverb, based on work by Sean Costello"
"rezzy";"ares [rezzy] asig, xfco, xres [, imode, iskip]";"resonant low-pass filter."
"rigoto";"[rigoto] label";"control during a reinit pass."
"rireturn";"[rireturn]";"a reinit pass."
"rms";"kres [rms] asig [, ihp] [, iskip]";"the root-mean-square amplitude of an audio signal."
"rnd";"[rnd](x) (init- or control-rate only)";"a random number in a unipolar range at the rate given by the input argument."
"rnd31";"ax [rnd31] kscl, krpow [, iseed]";"bipolar random opcodes with controllable distribution."
"round";"[round](x) (init-, control-, or audio-rate arg allowed)";"the integer value nearest to"
"rspline";"ares [rspline] xrangeMin, xrangeMax, kcpsMin, kcpsMax";"random spline curves."
"rtclock";"ires [rtclock]";"the real time clock from the operating system."
"s16b14";"i1,...,i16 [s16b14] ichan, ictlno_msb1, ictlno_lsb1, imin1, imax1, initvalue1, ifn1,..., ictlno_msb16, ictlno_lsb16, imin16, imax16, initvalue16, ifn16";"a bank of 16 different 14-bit MIDI control message numbers."
"s32b14";"i1,...,i32 [s32b14] ichan, ictlno_msb1, ictlno_lsb1, imin1, imax1, initvalue1, ifn1,..., ictlno_msb32, ictlno_lsb32, imin32, imax32, initvalue32, ifn32";"a bank of 32 different 14-bit MIDI control message numbers."
"samphold";"ares [samphold] asig, agate [, ival] [, ivstor]";"a sample-and-hold operation on its input."
"sandpaper";"ares [sandpaper] iamp, idettack [, inum] [, idamp] [, imaxshake]";"model of a sandpaper sound."
"scale";"kscl [scale] kinput, kmax, kmin";"signal scaling."
"scanhammer";"[scanhammer] isrc, idst, ipos, imult";"from one table to another with a gain control."
"scans";"ares [scans] kamp, kfreq, ifn, id [, iorder]";"audio output using scanned synthesis."
"scantable";"aout [scantable] kamp, kpch, ipos, imass, istiff, idamp, ivel";"simpler scanned synthesis implementation."
"scanu";"[scanu] init, irate, ifnvel, ifnmass, ifnstif, ifncentr, ifndamp, kmass, kstif, kcentr, kdamp, ileft, iright, kpos, kstrngth, ain, idisp, id";"the waveform and the wavetable for use in scanned synthesis."
"schedkwhen";"[schedkwhen] ktrigger, kmintim, kmaxnum, kinsnum, kwhen, kdur [, ip4] [, ip5] [...]";"a new score event generated by a k-rate trigger."
"schedkwhennamed";"[schedkwhennamed] ktrigger, kmintim, kmaxnum, "name", kwhen, kdur [, ip4] [, ip5] [...]";"to schedkwhen but uses a named instrument at init-time."
"schedule";"[schedule] insnum, iwhen, idur [, ip4] [, ip5] [...]";"a new score event."
"schedwhen";"[schedwhen] ktrigger, kinsnum, kwhen, kdur [, ip4] [, ip5] [...]";"a new score event."
"seed";"[seed] ival";"the global seed value."
"sekere";"ares [sekere] iamp, idettack [, inum] [, idamp] [, imaxshake]";"model of a sekere sound."
"semitone";"[semitone](x)";"a factor to raise/lower a frequency by a given amount of semitones."
"sense";"(Syntax not available)";"as the sensekey opcode."
"sensekey";"kres[, kkeydown] [sensekey]";"the ASCII code of a key that has been pressed."
"seqtime";"ktrig_out [seqtime] ktime_unit, kstart, kloop, kinitndx, kfn_times";"a trigger signal according to the values stored in a table."
"seqtime2";"ktrig_out [seqtime2] ktrig_in, ktime_unit, kstart, kloop, kinitndx, kfn_times";"a trigger signal according to the values stored in a table."
"setksmps";"[setksmps] iksmps";"the local ksmps value in a user-defined opcode block."
"sfilist";"[sfilist] ifilhandle";"a list of all instruments of a previously loaded SoundFont2 (SF2) file."
"sfinstr";"ar1, ar2 [sfinstr] ivel, inotenum, xamp, xfreq, instrnum, ifilhandle [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample instrument, generating a stereo sound."
"sfinstr3";"ar1, ar2 [sfinstr3] ivel, inotenum, xamp, xfreq, instrnum, ifilhandle [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample instrument, generating a stereo sound with cubic interpolation."
"sfinstr3m";"ares [sfinstr3m] ivel, inotenum, xamp, xfreq, instrnum, ifilhandle [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample instrument, generating a mono sound with cubic interpolation."
"sfinstrm";"ares [sfinstrm] ivel, inotenum, xamp, xfreq, instrnum, ifilhandle [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample instrument, generating a mono sound."
"sfload";"ir [sfload] "filename"";"an entire SoundFont2 (SF2) sample file into memory."
"sfpassign";"[sfpassign] istartindex, ifilhandle[, imsgs]";"all presets of a SoundFont2 (SF2) sample file to a sequence of progressive index numbers."
"sfplay";"ar1, ar2 [sfplay] ivel, inotenum, xamp, xfreq, ipreindex [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample preset, generating a stereo sound."
"sfplay3";"ar1, ar2 [sfplay3] ivel, inotenum, xamp, xfreq, ipreindex [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample preset, generating a stereo sound with cubic interpolation."
"sfplay3m";"ares [sfplay3m] ivel, inotenum, xamp, xfreq, ipreindex [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample preset, generating a mono sound with cubic interpolation."
"sfplaym";"ares [sfplaym] ivel, inotenum, xamp, xfreq, ipreindex [, iflag] [, ioffset]";"a SoundFont2 (SF2) sample preset, generating a mono sound."
"sfplist";"[sfplist] ifilhandle";"a list of all presets of a SoundFont2 (SF2) sample file."
"sfpreset";"ir [sfpreset] iprog, ibank, ifilhandle, ipreindex";"an existing preset of a SoundFont2 (SF2) sample file to an index number."
"shaker";"ares [shaker] kamp, kfreq, kbeans, kdamp, ktimes [, idecay]";"like the shaking of a maraca or similar gourd instrument."
"shl";"(Syntax not available)";"(Description not available)"
"shr";"(Syntax not available)";"(Description not available)"
"sin";"[sin](x) (no rate restriction)";"a sine function."
"sinh";"[sinh](x) (no rate restriction)";"a hyperbolic sine function."
"sininv";"[sininv](x) (no rate restriction)";"an arcsine function."
"sinsyn";"asig [sinsyn] fin, kscal,kmaxtracks, ifn";"partial track additive synthesis with cubic phase interpolation"
"sleighbells";"ares [sleighbells] kamp, idettack [, inum] [, idamp] [, imaxshake] [, ifreq] [, ifreq1] [, ifreq2]";"model of a sleighbell sound."
"slider16";"i1,...,i16 [slider16] ichan, ictlnum1, imin1, imax1, init1, ifn1,..., ictlnum16, imin16, imax16, init16, ifn16";"a bank of 16 different MIDI control message numbers."
"slider16f";"k1,...,k16 [slider16f] ichan, ictlnum1, imin1, imax1, init1, ifn1, icutoff1,..., ictlnum16, imin16, imax16, init16, ifn16, icutoff16";"a bank of 16 different MIDI control message numbers, filtered before output."
"slider32";"i1,...,i32 [slider32] ichan, ictlnum1, imin1, imax1, init1, ifn1,..., ictlnum32, imin32, imax32, init32, ifn32";"a bank of 32 different MIDI control message numbers."
"slider32f";"k1,...,k32 [slider32f] ichan, ictlnum1, imin1, imax1, init1, ifn1, icutoff1, ..., ictlnum32, imin32, imax32, init32, ifn32, icutoff32";"a bank of 32 different MIDI control message numbers, filtered before output."
"slider64";"i1,...,i64 [slider64] ichan, ictlnum1, imin1, imax1, init1, ifn1,..., ictlnum64, imin64, imax64, init64, ifn64";"a bank of 64 different MIDI control message numbers."
"slider64f";"k1,...,k64 [slider64f] ichan, ictlnum1, imin1, imax1, init1, ifn1, icutoff1,..., ictlnum64, imin64, imax64, init64, ifn64, icutoff64";"a bank of 64 different MIDI control message numbers, filtered before output."
"slider8";"i1,...,i8 [slider8] ichan, ictlnum1, imin1, imax1, init1, ifn1,..., ictlnum8, imin8, imax8, init8, ifn8";"a bank of 8 different MIDI control message numbers."
"slider8f";"k1,...,k8 [slider8f] ichan, ictlnum1, imin1, imax1, init1, ifn1, icutoff1, ..., ictlnum8, imin8, imax8, init8, ifn8, icutoff8";"a bank of 8 different MIDI control message numbers, filtered before output."
"sndload";"[sndload] Sfname[, ifmt[, ichns[, isr[, ibas[, iamp[, istrt [, ilpmod[, ilps[, ilpe]]]]]]]]]";"a sound file into memory for use by"
"sndloop";"asig, krec [sndloop] ain, kpitch, ktrig, idur, ifad";"sound looper with pitch control."
"sndwarp";"ares [, ac] [sndwarp] xamp, xtimewarp, xresample, ifn1, ibeg, iwsize, irandw, ioverlap, ifn2, itimemode";"a mono sound sample from a table and applies time-stretching and/or pitch modification."
"sndwarpst";"ar1, ar2 [,ac1] [, ac2] [sndwarpst] xamp, xtimewarp, xresample, ifn1, ibeg, iwsize, irandw, ioverlap, ifn2, itimemode";"a stereo sound sample from a table and applies time-stretching and/or pitch modification."
"soundin";"ar1[, ar2[, ar3[, ... a24]]] [soundin] ifilcod [, iskptim] [, iformat] [, iskipinit] [, ibufsize]";"audio data from an external device or stream."
"soundout";"[soundout]asig1, ifilcod [, iformat]";"audio output to a disk file."
"soundouts";"[soundouts]asigl, asigr, ifilcod [, iformat]";"audio output to a disk file."
"space";"a1, a2, a3, a4[space] asig, ifn, ktime, kreverbsend, kx, ky";"an input signal among 4 channels using cartesian coordinates."
"spat3d";"aW, aX, aY, aZ [spat3d] ain, kX, kY, kZ, idist, ift, imode, imdel, iovr [, istor]";"the input sound in a 3D space and allows moving the sound at k-rate."
"spat3di";"aW, aX, aY, aZ [spat3di] ain, iX, iY, iZ, idist, ift, imode [, istor]";"the input sound in a 3D space with the sound source position set at i-time."
"spat3dt";"[spat3dt] ioutft, iX, iY, iZ, idist, ift, imode, irlen [, iftnocl]";"be used to render an impulse response for a 3D space at i-time."
"spdist";"k1 [spdist] ifn, ktime, kx, ky";"distance values from xy coordinates."
"specaddm";"wsig [specaddm] wsig1, wsig2 [, imul2]";"a weighted add of two input spectra."
"specdiff";"wsig [specdiff] wsigin";"the positive difference values between consecutive spectral frames."
"specdisp";"[specdisp] wsig, iprd [, iwtflg]";"the magnitude values of the spectrum."
"specfilt";"wsig [specfilt] wsigin, ifhtim";"each channel of an input spectrum."
"spechist";"wsig [spechist] wsigin";"the values of successive spectral frames."
"specptrk";"koct, kamp [specptrk] wsig, kvar, ilo, ihi, istr, idbthresh, inptls, irolloff [, iodd] [, iconfs] [, interp] [, ifprd] [, iwtflg]";"the pitch of the most prominent complex tone in the spectrum."
"specscal";"wsig [specscal] wsigin, ifscale, ifthresh";"an input spectral datablock with spectral envelopes."
"specsum";"ksum [specsum] wsig [, interp]";"the magnitudes across all channels of the spectrum."
"spectrum";"wsig [spectrum] xsig, iprd, iocts, ifrqa [, iq] [, ihann] [, idbout] [, idsprd] [, idsinrs]";"a constant-Q, exponentially-spaced DFT."
"splitrig";"[splitrig] ktrig, kndx, imaxtics, ifn, kout1 [,kout2,...,koutN]";"Split a trigger signal"
"sprintf";"Sdst [sprintf] Sfmt, xarg1[, xarg2[, ... ]]";"formatted output to a string variable"
"sprintfk";"(Syntax not available)";"(Description not available)"
"spsend";"a1, a2, a3, a4 [spsend]";"output signals based on a previously defined"
"sqrt";"[sqrt](x) (no rate restriction)";"a square root value."
"sr";"[sr] = iarg";"the audio sampling rate."
"stack";"[stack]iStackSize";"the stack."
"statevar";"ahp,alp,abp,abr [statevar] ain, kcf, kq [, iosamps, istor]";"filter."
"stix";"ares [stix] iamp, idettack [, inum] [, idamp] [, imaxshake]";"model of a stick sound."
"STKBandedWG";"(Syntax not available)";"(Description not available)"
"STKBeeThree";"(Syntax not available)";"(Description not available)"
"STKBlowBotl";"(Syntax not available)";"(Description not available)"
"STKBlowHole";"(Syntax not available)";"(Description not available)"
"STKBowed";"(Syntax not available)";"(Description not available)"
"STKBrass";"(Syntax not available)";"(Description not available)"
"STKClarinet";"(Syntax not available)";"(Description not available)"
"STKDrummer";"(Syntax not available)";"(Description not available)"
"STKFlute";"(Syntax not available)";"(Description not available)"
"STKFMVoices";"(Syntax not available)";"(Description not available)"
"STKHevyMetl";"(Syntax not available)";"(Description not available)"
"STKMandolin";"(Syntax not available)";"(Description not available)"
"STKModalBar";"(Syntax not available)";"(Description not available)"
"STKMoog";"(Syntax not available)";"(Description not available)"
"STKPercFlut";"(Syntax not available)";"(Description not available)"
"STKPlucked";"(Syntax not available)";"(Description not available)"
"STKResonate";"(Syntax not available)";"(Description not available)"
"STKRhodey";"(Syntax not available)";"(Description not available)"
"STKSaxofony";"(Syntax not available)";"(Description not available)"
"STKShakers";"(Syntax not available)";"(Description not available)"
"STKSimple";"(Syntax not available)";"(Description not available)"
"STKSitar";"(Syntax not available)";"(Description not available)"
"STKStifKarp";"(Syntax not available)";"(Description not available)"
"STKTubeBell";"(Syntax not available)";"(Description not available)"
"STKVoicForm";"(Syntax not available)";"(Description not available)"
"STKWhistle";"(Syntax not available)";"(Description not available)"
"STKWurley";"(Syntax not available)";"(Description not available)"
"strcat";"Sdst [strcat] Ssrc1, Ssrc2";"strings"
"strcatk";"Sdst [strcatk] Ssrc1, Ssrc2";"strings (k-rate)"
"strchar";"ichr [strchar] Sstr[, ipos]";"the ASCII code of a character in a string"
"strchark";"kchr [strchark] Sstr[, kpos]";"the ASCII code of a character in a string"
"strcmp";"ires [strcmp] S1, S2";"strings"
"strcmpk";"kres [strcmpk] S1, S2";"strings"
"strcpy";"Sdst [strcpy] Ssrc";"value to a string variable"
"strcpyk";"Sdst [strcpyk] Ssrc";"value to a string variable (k-rate)"
"streson";"ares [streson] asig, kfr, ifdbgain";"string resonator with variable fundamental frequency."
"strget";"Sdst [strget] indx";"string variable to value from strset table or string p-field"
"strindex";"ipos [strindex] S1, S2";"the position of the first occurence of a string in another string"
"strindexk";"kpos [strindexk] S1, S2";"the position of the first occurence of a string in another string"
"strlen";"ilen [strlen] Sstr";"the length of a string"
"strlenk";"klen [strlenk] Sstr";"the length of a string"
"strlower";"Sdst [strlower] Ssrc";"a string to lower case"
"strlowerk";"Sdst [strlowerk] Ssrc";"a string to lower case"
"strrindex";"ipos [strrindex] S1, S2";"the position of the last occurence of a string in another string"
"strrindexk";"kpos [strrindexk] S1, S2";"the position of the last occurence of a string in another string"
"strset";"[strset] iarg, istring";"a string to be linked with a numeric value."
"strsub";"Sdst [strsub] Ssrc[, istart[, iend]]";"a substring"
"strsubk";"Sdst [strsubk] Ssrc, kstart, kend";"a substring"
"strtod";"ir [strtod] Sstr";"a string to a float (i-rate)."
"strtodk";"kr [strtodk] Sstr";"a string to a float (k-rate)."
"strtol";"ir [strtol] Sstr";"a string to a signed integer (i-rate)."
"strtolk";"kr [strtolk] Sstr";"a string to a signed integer (k-rate)."
"strupper";"Sdst [strupper] Ssrc";"a string to upper case"
"strupperk";"Sdst [strupperk] Ssrc";"a string to upper case"
"sub";"(Syntax not available)";"(Description not available)"
"subinstr";"a1, [...] [, a8] [subinstr] instrnum [, p4] [, p5] [...]";"and runs a numbered instrument instance."
"subinstrinit";"[subinstrinit] instrnum [, p4] [, p5] [...]";"and runs a numbered instrument instance at init-time."
"sum";"ares [sum] asig1 [, asig2] [, asig3] [...]";"any number of a-rate signals."
"svfilter";"alow, ahigh, aband [svfilter]asig, kcf, kq [, iscl]";"resonant second order filter, with simultaneous lowpass, highpass and bandpass outputs."
"syncgrain";"asig [syncgrain] kamp, kfreq, kpitch, kgrsize, kprate, ifun1, ifun2, iolaps";"granular synthesis."
"syncloop";"asig [syncloop] kamp, kfreq, kpitch, kgrsize, kprate, klstart, klend, ifun1, ifun2, iolaps[,istart, iskip]";"granular synthesis."
"system";"ires [system_i] itrig, Scmd, [inowait]";"an external program via the system call"
"system_i";"(Syntax not available)";"(Description not available)"
"tab";"ir [tab_i] indx, ifn[, ixmode]";"table opcodes."
"tab_i";"(Syntax not available)";"(Description not available)"
"table";"ares [table] andx, ifn [, ixmode] [, ixoff] [, iwrap]";"table values by direct indexing."
"table3";"ares [table3] andx, ifn [, ixmode] [, ixoff] [, iwrap]";"table values by direct indexing with cubic interpolation."
"tablecopy";"[tablecopy] kdft, ksft";"fast table copy opcode."
"tablegpw";"[tablegpw] kfn";"a table's guard point."
"tablei";"ares [tablei] andx, ifn [, ixmode] [, ixoff] [, iwrap]";"table values by direct indexing with linear interpolation."
"tableicopy";"[tableicopy] idft, isft";"fast table copy opcode."
"tableigpw";"[tableigpw] ifn";"a table's guard point."
"tableikt";"ares [tableikt] xndx, kfn [, ixmode] [, ixoff] [, iwrap]";"k-rate control over table numbers."
"tableimix";"[tableimix] idft, idoff, ilen, is1ft, is1off, is1g, is2ft, is2off, is2g";"two tables."
"tableiw";"[tableiw] isig, indx, ifn [, ixmode] [, ixoff] [, iwgmode]";"the contents of existing function tables."
"tablekt";"ares [tablekt] xndx, kfn [, ixmode] [, ixoff] [, iwrap]";"k-rate control over table numbers."
"tablemix";"[tablemix] kdft, kdoff, klen, ks1ft, ks1off, ks1g, ks2ft, ks2off, ks2g";"two tables."
"tableng";"ires [tableng] ifn";"a function table for length."
"tablera";"ares [tablera] kfn, kstart, koff";"tables in sequential locations."
"tableseg";"[tableseg] ifn1, idur1, ifn2 [, idur2] [, ifn3] [...]";"a new function table by making linear segments between values in stored function tables."
"tablew";"[tablew] asig, andx, ifn [, ixmode] [, ixoff] [, iwgmode]";"the contents of existing function tables."
"tablewa";"kstart [tablewa] kfn, asig, koff";"tables in sequential locations."
"tablewkt";"[tablewkt] asig, andx, kfn [, ixmode] [, ixoff] [, iwgmode]";"the contents of existing function tables."
"tablexkt";"ares [tablexkt] xndx, kfn, kwarp, iwsize [, ixmode] [, ixoff] [, iwrap]";"function tables with linear, cubic, or sinc interpolation."
"tablexseg";"[tablexseg] ifn1, idur1, ifn2 [, idur2] [, ifn3] [...]";"a new function table by making exponential segments between values in stored function tables."
"tabplay";"[tabplay]ktrig, knumtics, kfn, kout1 [,kout2,..., koutN]";"control signals."
"tabrec";"[tabrec] ktrig_start, ktrig_stop, knumtics, kfn, kin1 [,kin2,...,kinN]";"of control signals."
"tabw";"(Syntax not available)";"(Description not available)"
"tabw_i";"(Syntax not available)";"(Description not available)"
"tambourine";"ares [tambourine] kamp, idettack [, inum] [, idamp] [, imaxshake] [, ifreq] [, ifreq1] [, ifreq2]";"model of a tambourine sound."
"tan";"[tan](x) (no rate restriction)";"a tangent function."
"tanh";"[tanh](x) (no rate restriction)";"a hyperbolic tangent function."
"taninv";"[taninv](x) (no rate restriction)";"an arctangent function."
"taninv2";"ares [taninv2] ay, ax";"an arctangent."
"tb0";"(Syntax not available)";"(Description not available)"
"tb0_init";"(Syntax not available)";"(Description not available)"
"tb1";"(Syntax not available)";"(Description not available)"
"tb1_init";"(Syntax not available)";"(Description not available)"
"tb10";"(Syntax not available)";"(Description not available)"
"tb10_init";"(Syntax not available)";"(Description not available)"
"tb11";"(Syntax not available)";"(Description not available)"
"tb11_init";"(Syntax not available)";"(Description not available)"
"tb12";"(Syntax not available)";"(Description not available)"
"tb12_init";"(Syntax not available)";"(Description not available)"
"tb13";"(Syntax not available)";"(Description not available)"
"tb13_init";"(Syntax not available)";"(Description not available)"
"tb14";"(Syntax not available)";"(Description not available)"
"tb14_init";"(Syntax not available)";"(Description not available)"
"tb15";"(Syntax not available)";"(Description not available)"
"tb15_init";"(Syntax not available)";"(Description not available)"
"tb2";"(Syntax not available)";"(Description not available)"
"tb2_init";"(Syntax not available)";"(Description not available)"
"tb3";"(Syntax not available)";"(Description not available)"
"tb3_init";"(Syntax not available)";"(Description not available)"
"tb4";"(Syntax not available)";"(Description not available)"
"tb4_init";"(Syntax not available)";"(Description not available)"
"tb5";"(Syntax not available)";"(Description not available)"
"tb5_init";"(Syntax not available)";"(Description not available)"
"tb6";"(Syntax not available)";"(Description not available)"
"tb6_init";"(Syntax not available)";"(Description not available)"
"tb7";"(Syntax not available)";"(Description not available)"
"tb7_init";"(Syntax not available)";"(Description not available)"
"tb8";"(Syntax not available)";"(Description not available)"
"tb8_init";"(Syntax not available)";"(Description not available)"
"tb9";"(Syntax not available)";"(Description not available)"
"tb9_init";"(Syntax not available)";"(Description not available)"
"tbvcf";"ares [tbvcf] asig, xfco, xres, kdist, kasym [, iskip]";"Models some of the filter characteristics of a Roland TB303 voltage-controlled filter."
"tempest";"ktemp [tempest] kin, iprd, imindur, imemdur, ihp, ithresh, ihtim, ixfdbak, istartempo, ifn [, idisprd] [, itweek]";"the tempo of beat patterns in a control signal."
"tempo";"[tempo] ktempo, istartempo";"tempo control to an uninterpreted score."
"tempoval";"kres [tempoval]";"the current value of the tempo."
"tigoto";"[tigoto] label";"control at i-time when a new note is being tied onto a previously held note"
"timedseq";"ktrig[timedseq]ktimpnt, ifn, kp1 [,kp2, kp3, ...,kpN]";"Variant Sequencer"
"timeinstk";"kres [timeinstk]";"absolute time in k-rate cycles."
"timeinsts";"kres [timeinsts]";"absolute time in seconds."
"timek";"ires [timek]";"absolute time in k-rate cycles."
"times";"ires [times]";"absolute time in seconds."
"timout";"[timout] istrt, idur, label";"branch during p-time depending on elapsed note time."
"tival";"ir [tival]";"Puts the value of the instrument's internal"
"tlineto";"kres [tlineto] ksig, ktime, ktrig";"glissandos starting from a control signal."
"tone";"ares [tone] asig, khp [, iskip]";"first-order recursive low-pass with variable frequency response."
"tonek";"kres [tonek] ksig, khp [, iskip]";"first-order recursive low-pass filter with variable frequency response."
"tonex";"ares [tonex]asig, khp [, inumlayer] [, iskip]";"a stack of filters using the tone opcode."
"tradsyn";"asig [tradsyn] fin, kscal, kpitch, kmaxtracks, ifn";"partial track additive synthesis"
"transeg";"ares [transeg] ia, idur, itype, ib [, idur2] [, itype] [, ic] ...";"a user-definable envelope."
"trcross";"fsig [trcross] fin1, fin2, ksearch,kdepth[,kmode]";"partial track cross-synthesis."
"trfilter";"fsig [trfilter] fin, kamnt, ifn";"partial track filtering."
"trhighest";"fsig, kfr,kamp [trhighest] fin1, kscal";"Extracts the highest-frequency track from a streaming track input signal."
"trigger";"kout [trigger] ksig, kthreshold, kmode";"when a krate signal crosses a threshold."
"trigseq";"[trigseq] ktrig_in, kstart, kloop, kinitndx, kfn_values, kout1 [, kout2] [...]";"a trigger signal as input and outputs a group of values."
"trirand";"ares [trirand] krange";"distribution random number generator."
"trlowest";"fsig, kfr,kamp [trlowest] fin1, kscal";"Extracts the lowest-frequency track from a streaming track input signal."
"trmix";"fsig [trmix] fin1, fin2";"partial track mixing."
"trscale";"fsig [trscale] fin, kpitch[, kgain]";"partial track frequency scaling."
"trshift";"fsig [trshift] fin, kpshift[, kgain]";"partial track frequency scaling."
"trsplit";"fsiglow, fsighi [trsplit] fin, ksplit[, kgainlow, kgainhigh]";"partial track frequency splitting."
"turnoff";"[turnoff]";"an instrument to turn itself off."
"turnoff2";"[turnoff2] kinsno, kmode, krelease";"off instance(s) of other instruments at performance time."
"turnon";"[turnon] insnum [, itime]";"an instrument for an indefinite time."
"unirand";"ares [unirand] krange";"distribution random number generator (positive values only)."
"upsamp";"ares [upsamp] ksig";"a signal by up-sampling."
"urd";"aout = [urd](ktableNum)";"discrete user-defined-distribution random generator that can be used as a function."
"vadd";"[vadd]ifn, kval, kelements [, kdstoffset] [, kverbose]";"a scalar value to a vector in a table."
"vadd_i";"[vadd_i]ifn, ival, ielements [, idstoffset]";"a scalar value to a vector in a table."
"vaddv";"[vaddv]ifn1, ifn2, kelements [, kdstoffset] [, ksrcoffset] [,kverbose]";"Performs addition between two vectorial control signals"
"vaddv_i";"[vaddv_i]ifn1, ifn2, ielements [, idstoffset] [, isrcoffset]";"Performs addition between two vectorial control signals at init time."
"vaget";"kval [vaget] kndx, avar";"values of the current buffer of an a-rate variable by indexing."
"valpass";"ares [valpass] asig, krvt, xlpt, imaxlpt [, iskip] [, insmps]";"reverberates an input signal with a flat frequency response."
"vaset";"[vaset] kval, kndx, avar";"value of into the current buffer of an a-rate variable by index."
"vbap16";"ar1, ..., ar16 [vbap16] asig, iazim [, ielev] [, ispread]";"an audio signal among 16 channels."
"vbap16move";"ar1, ..., ar16 [vbap16move] asig, idur, ispread, ifldnum, ifld1 [, ifld2] [...]";"an audio signal among 16 channels with moving virtual sources."
"vbap4";"ar1, ar2, ar3, ar4 [vbap4] asig, iazim [, ielev] [, ispread]";"an audio signal among 4 channels."
"vbap4move";"ar1, ar2, ar3, ar4 [vbap4move] asig, idur, ispread, ifldnum, ifld1 [, ifld2] [...]";"an audio signal among 4 channels with moving virtual sources."
"vbap8";"ar1, ..., ar8 [vbap8] asig, iazim [, ielev] [, ispread]";"an audio signal among 8 channels."
"vbap8move";"ar1, ..., ar8 [vbap8move] asig, idur, ispread, ifldnum, ifld1 [, ifld2] [...]";"an audio signal among 8 channels with moving virtual sources."
"vbaplsinit";"[vbaplsinit] idim, ilsnum [, idir1] [, idir2] [...] [, idir32]";"VBAP output according to loudspeaker parameters."
"vbapz";"[vbapz] inumchnls, istartndx, asig, iazim [, ielev] [, ispread]";"a multi-channel audio signal to a ZAK array."
"vbapzmove";"[vbapzmove] inumchnls, istartndx, asig, idur, ispread, ifldnum, ifld1, ifld2, [...]";"a multi-channel audio signal to a ZAK array with moving virtual sources."
"vcella";"[vcella] ktrig, kreinit, ioutFunc, initStateFunc, iRuleFunc, ielements, irulelen [, iradius]";"Automata"
"vco";"ares [vco] xamp, xcps, iwave, kpw [, ifn] [, imaxd] [, ileak] [, inyx] [, iphs] [, iskip]";"of a band limited, analog modeled oscillator."
"vco2";"ares [vco2] kamp, kcps [, imode] [, kpw] [, kphs] [, inyx]";"of a band-limited oscillator using pre-calculated tables."
